username,sale_date,country,product,quantity,unit_price,total_amount
user_1297,2026-11-17,China,Chicken Nuggets,493,161.31,79525.83
user_1145,2026-11-24,Brazil,Too Much Grilled Tenders,517,160.97,83221.49
user_313,2024-04-20,UK,Grilled Tenders,174,1.84,320.16
user_303,2024-01-08,Germany,Grilled Tenders,396,29.21,11567.16
user_3747,2024-04-23,France,Soft Chicken Nuggets,719,96.78,69584.82
user_417,2024-06-04,Canada,Hardcore Spicy Tenders,481,27.51,13232.31
user_4036,2024-11-18,UK,Too Much Grilled Tenders,621,19.44,12072.24
user_3961,2024-01-10,Japan,Grilled Tenders,342,111.71,38204.82
user_1027,2024-07-27,Canada,Hardcore Spicy Tenders,97,86.29,8370.13
user_4874,2024-01-21,Brazil,Chicken Nuggets,928,65.83,61090.24
user_4900,2024-06-29,USA,Hardcore Spicy Tenders,518,89.28,46247.04
user_1436,2024-01-10,UK,Spicy Strips,259,43.37,11232.83
user_4503,2024-10-07,USA,Too Much Grilled Tenders,458,145.34,66565.72
user_2189,2024-07-20,Japan,Spicy Strips,376,196.9,74034.4
user_1276,2025-09-01,Brazil,Soft Chicken Nuggets,211,128.44,27100.84
user_3343,2026-05-14,Canada,Chicken Nuggets,94,171.04,16077.76
user_95,2024-02-07,India,Too Much Grilled Tenders,987,101.9,100575.3
user_4187,2025-05-13,India,Chicken Nuggets,686,66.06,45317.16
user_709,2024-12-12,China,Grilled Tenders,921,66.2,60970.2
user_3512,2024-06-22,Brazil,Grilled Tenders,546,113.22,61818.12
user_2988,2025-10-25,UK,Too Much Grilled Tenders,42,149.0,6258.0
user_4647,2026-07-08,Canada,Hardcore Spicy Tenders,865,105.99,91681.35
user_4608,2026-05-26,USA,Chicken Nuggets,626,44.85,28076.1
user_1971,2025-09-08,Germany,Hardcore Spicy Tenders,622,106.22,66068.84
user_4785,2026-10-08,India,Chicken Nuggets,381,86.32,32887.92
user_986,2024-07-11,Canada,Soft Chicken Nuggets,244,49.8,12151.2
user_2402,2025-02-27,France,Fried Wings,561,92.25,51752.25
user_2631,2026-03-20,Germany,Grilled Tenders,58,111.42,6462.36
user_4929,2026-09-12,France,Fried Wings,131,128.25,16800.75
user_2101,2025-09-08,UK,Spicy Strips,954,40.12,38274.48
user_3626,2026-05-07,France,Chicken Nuggets,338,140.77,47580.26
user_4141,2024-02-22,Japan,Spicy Strips,117,2.02,236.34
user_2626,2026-03-06,USA,Grilled Tenders,596,181.62,108245.52
user_4460,2025-07-17,UK,Grilled Tenders,632,140.13,88562.16
user_4175,2024-03-16,Brazil,Spicy Strips,142,85.37,12122.54
user_4384,2024-11-21,UK,Chicken Nuggets,365,40.91,14932.15
user_2774,2026-05-23,Germany,Fried Wings,212,89.46,18965.52
user_2814,2025-11-12,UK,Spicy Strips,520,20.1,10452.0
user_855,2024-12-31,Japan,Fried Wings,256,60.0,15360.0
user_447,2024-07-13,USA,Hardcore Spicy Tenders,366,60.65,22197.9
user_4940,2026-03-21,UK,Soft Chicken Nuggets,605,63.46,38393.3
user_1006,2024-08-01,Japan,Too Much Grilled Tenders,89,196.39,17478.71
user_4435,2024-12-03,UK,Soft Chicken Nuggets,716,54.81,39243.96
user_3586,2025-08-29,Germany,Fried Wings,457,3.69,1686.33
user_1337,2024-09-11,Canada,Fried Wings,398,33.26,13237.48
user_2322,2024-11-04,UK,Chicken Nuggets,717,109.7,78654.9
user_3772,2024-02-22,Japan,Soft Chicken Nuggets,366,168.86,61802.76
user_2968,2024-07-18,China,Hardcore Spicy Tenders,599,35.05,20994.95
user_2441,2025-11-01,France,Fried Wings,515,134.77,69406.55
user_4620,2026-12-24,Japan,Soft Chicken Nuggets,628,31.84,19995.52
user_3885,2025-10-16,Germany,Chicken Nuggets,675,160.2,108135.0
user_1966,2026-08-19,Brazil,Hardcore Spicy Tenders,266,119.67,31832.22
user_1178,2026-11-06,Brazil,Fried Wings,710,78.73,55898.3
user_2806,2025-09-20,Germany,Fried Wings,349,182.41,63661.09
user_1295,2026-12-13,China,Grilled Tenders,560,197.11,110381.6
user_2992,2025-09-28,Germany,Soft Chicken Nuggets,313,2.92,913.96
user_401,2025-01-28,Canada,Hardcore Spicy Tenders,346,83.85,29012.1
user_1264,2026-07-13,Canada,Too Much Grilled Tenders,297,169.73,50409.81
user_4985,2025-01-12,Canada,Soft Chicken Nuggets,448,184.89,82830.72
user_2236,2025-05-28,Japan,Fried Wings,668,110.92,74094.56
user_204,2025-10-31,Japan,Hardcore Spicy Tenders,623,127.04,79145.92
user_3656,2026-07-30,Germany,Spicy Strips,421,75.06,31600.26
user_3503,2026-11-27,Germany,Chicken Nuggets,486,2.42,1176.12
user_1782,2025-01-23,UK,Too Much Grilled Tenders,140,72.76,10186.4
user_1674,2026-08-30,UK,Too Much Grilled Tenders,919,109.15,100308.85
user_3114,2025-06-21,UK,Spicy Strips,35,24.79,867.65
user_4379,2025-05-02,Germany,Soft Chicken Nuggets,67,54.63,3660.21
user_4649,2026-06-01,UK,Spicy Strips,32,62.43,1997.76
user_1793,2025-11-24,India,Grilled Tenders,852,43.28,36874.56
user_1142,2026-08-03,India,Chicken Nuggets,884,6.9,6099.6
user_443,2026-03-02,China,Chicken Nuggets,193,177.45,34247.85
user_1820,2025-06-28,France,Soft Chicken Nuggets,154,162.88,25083.52
user_55,2024-07-01,China,Too Much Grilled Tenders,307,64.43,19780.01
user_4765,2024-08-29,Brazil,Grilled Tenders,494,181.95,89883.3
user_4183,2026-07-11,USA,Hardcore Spicy Tenders,799,154.96,123813.04
user_1188,2026-12-26,USA,Fried Wings,114,59.09,6736.26
user_1581,2026-10-02,USA,Chicken Nuggets,57,53.14,3028.98
user_2964,2026-05-06,China,Fried Wings,273,181.94,49669.62
user_3327,2025-09-17,Brazil,Hardcore Spicy Tenders,727,35.32,25677.64
user_2443,2026-04-29,Canada,Grilled Tenders,627,141.97,89015.19
user_1953,2025-09-07,UK,Fried Wings,512,82.34,42158.08
user_3788,2025-09-02,Japan,Soft Chicken Nuggets,935,37.57,35127.95
user_1374,2024-05-13,France,Hardcore Spicy Tenders,149,56.33,8393.17
user_1257,2025-01-09,China,Chicken Nuggets,552,21.19,11696.88
user_1728,2026-04-07,France,Spicy Strips,496,92.58,45919.68
user_1981,2026-09-15,Germany,Spicy Strips,611,56.63,34600.93
user_436,2026-01-31,Brazil,Fried Wings,776,159.01,123391.76
user_3951,2025-10-23,USA,Grilled Tenders,627,96.02,60204.54
user_1925,2026-02-28,India,Chicken Nuggets,342,76.12,26033.04
user_3141,2024-01-18,Canada,Grilled Tenders,62,46.85,2904.7
user_823,2024-02-11,Japan,Chicken Nuggets,976,55.55,54216.8
user_2304,2024-09-20,France,Grilled Tenders,720,46.84,33724.8
user_2637,2024-11-30,Brazil,Hardcore Spicy Tenders,904,80.92,73151.68
user_2318,2024-05-16,Germany,Spicy Strips,634,1.42,900.28
user_3427,2024-06-11,UK,Chicken Nuggets,675,144.83,97760.25
user_681,2024-08-29,Japan,Too Much Grilled Tenders,116,148.64,17242.24
user_2176,2024-07-19,USA,Fried Wings,901,139.42,125617.42
user_505,2026-11-23,USA,Spicy Strips,313,195.46,61178.98
user_3349,2026-07-12,Japan,Grilled Tenders,378,148.35,56076.3
user_493,2024-07-23,USA,Chicken Nuggets,284,145.05,41194.2
user_1266,2025-05-17,China,Too Much Grilled Tenders,17,95.89,1630.13
user_2324,2026-01-12,UK,Hardcore Spicy Tenders,312,61.54,19200.48
user_4847,2024-05-04,France,Fried Wings,539,179.37,96680.43
user_4191,2025-12-20,Brazil,Fried Wings,577,155.91,89960.07
user_3784,2025-04-03,Germany,Fried Wings,715,56.02,40054.3
user_761,2024-09-13,China,Too Much Grilled Tenders,233,80.71,18805.43
user_915,2024-06-17,USA,Chicken Nuggets,536,197.61,105918.96
user_1800,2025-01-23,Germany,Grilled Tenders,640,176.19,112761.6
user_3382,2024-05-27,India,Fried Wings,347,130.06,45130.82
user_1956,2024-05-06,Brazil,Hardcore Spicy Tenders,609,187.44,114150.96
user_4357,2024-01-26,UK,Too Much Grilled Tenders,273,186.22,50838.06
user_3809,2024-06-21,Brazil,Fried Wings,329,126.59,41648.11
user_2117,2026-05-19,Brazil,Soft Chicken Nuggets,636,12.05,7663.8
user_3770,2024-01-21,France,Hardcore Spicy Tenders,752,88.83,66800.16
user_1108,2024-04-03,France,Spicy Strips,15,47.84,717.6
user_1496,2025-08-19,France,Fried Wings,469,122.1,57264.9
user_1285,2026-12-18,Canada,Soft Chicken Nuggets,945,157.51,148846.95
user_2176,2026-10-18,Brazil,Too Much Grilled Tenders,633,174.48,110445.84
user_4268,2026-12-25,China,Too Much Grilled Tenders,134,118.43,15869.62
user_732,2026-08-16,Brazil,Grilled Tenders,487,99.4,48407.8
user_4371,2026-05-11,China,Too Much Grilled Tenders,10,97.31,973.1
user_3653,2026-06-30,Germany,Grilled Tenders,513,47.35,24290.55
user_4629,2026-07-20,France,Fried Wings,11,157.11,1728.21
user_4623,2025-02-09,France,Fried Wings,479,151.81,72716.99
user_4669,2024-12-15,Japan,Too Much Grilled Tenders,794,44.58,35396.52
user_4359,2026-10-06,India,Soft Chicken Nuggets,471,178.93,84276.03
user_533,2026-09-06,UK,Hardcore Spicy Tenders,657,164.77,108253.89
user_1544,2026-11-19,China,Soft Chicken Nuggets,385,158.43,60995.55
user_1427,2024-06-17,UK,Fried Wings,539,127.75,68857.25
user_3950,2026-01-26,India,Too Much Grilled Tenders,492,140.4,69076.8
user_1628,2024-12-23,UK,Grilled Tenders,527,19.42,10234.34
user_4450,2026-05-15,China,Spicy Strips,88,100.32,8828.16
user_599,2025-03-28,France,Too Much Grilled Tenders,750,88.42,66315.0
user_4494,2025-05-26,UK,Hardcore Spicy Tenders,197,1.1,216.7
user_164,2026-06-15,UK,Hardcore Spicy Tenders,561,76.71,43034.31
user_868,2025-06-12,UK,Chicken Nuggets,702,61.29,43025.58
user_1024,2024-01-25,China,Grilled Tenders,671,185.96,124779.16
user_989,2026-02-26,Germany,Spicy Strips,645,150.87,97311.15
user_1864,2025-04-16,Japan,Hardcore Spicy Tenders,86,96.47,8296.42
user_824,2025-03-30,India,Too Much Grilled Tenders,807,83.49,67376.43
user_763,2025-03-14,Canada,Chicken Nuggets,267,107.45,28689.15
user_3214,2024-01-04,USA,Soft Chicken Nuggets,210,58.47,12278.7
user_78,2025-11-21,Germany,Hardcore Spicy Tenders,996,7.85,7818.6
user_4846,2025-12-15,Canada,Fried Wings,129,73.89,9531.81
user_4984,2025-10-07,China,Soft Chicken Nuggets,48,184.22,8842.56
user_1311,2024-06-07,UK,Fried Wings,889,81.05,72053.45
user_119,2024-12-12,Canada,Too Much Grilled Tenders,678,177.8,120548.4
user_2123,2025-05-18,UK,Grilled Tenders,839,123.92,103968.88
user_4148,2026-08-24,Germany,Soft Chicken Nuggets,917,62.17,57009.89
user_1752,2026-03-15,Brazil,Chicken Nuggets,626,15.44,9665.44
user_1078,2025-11-28,Canada,Hardcore Spicy Tenders,618,121.23,74920.14
user_4641,2026-07-26,Brazil,Hardcore Spicy Tenders,693,21.59,14961.87
user_4336,2024-10-25,India,Grilled Tenders,281,24.99,7022.19
user_1848,2025-08-21,India,Grilled Tenders,618,188.94,116764.92
user_3449,2025-02-15,Canada,Chicken Nuggets,552,69.91,38590.32
user_548,2026-03-25,Canada,Spicy Strips,457,199.66,91244.62
user_421,2025-12-05,Brazil,Hardcore Spicy Tenders,290,25.54,7406.6
user_13,2025-09-01,France,Grilled Tenders,145,92.79,13454.55
user_3690,2025-05-23,China,Hardcore Spicy Tenders,259,96.03,24871.77
user_961,2025-05-24,France,Spicy Strips,886,133.14,117962.04
user_4677,2025-09-15,Germany,Spicy Strips,949,143.26,135953.74
user_3521,2025-06-19,India,Grilled Tenders,391,94.52,36957.32
user_1660,2024-01-28,India,Grilled Tenders,708,51.42,36405.36
user_2453,2025-12-09,Japan,Soft Chicken Nuggets,6,40.25,241.5
user_4452,2025-12-06,India,Too Much Grilled Tenders,596,22.63,13487.48
user_3273,2026-05-18,Germany,Spicy Strips,270,138.36,37357.2
user_2733,2024-03-01,USA,Fried Wings,172,120.45,20717.4
user_3562,2026-03-22,China,Soft Chicken Nuggets,715,139.23,99549.45
user_1445,2024-06-05,Canada,Hardcore Spicy Tenders,676,118.74,80268.24
user_564,2025-03-15,Japan,Spicy Strips,727,82.72,60137.44
user_2430,2025-03-22,USA,Grilled Tenders,71,56.35,4000.85
user_3763,2025-02-18,Germany,Chicken Nuggets,723,104.85,75806.55
user_1982,2025-11-12,India,Grilled Tenders,139,120.2,16707.8
user_4889,2025-05-02,China,Spicy Strips,751,133.6,100333.6
user_1299,2026-04-29,China,Grilled Tenders,553,151.15,83585.95
user_73,2026-02-24,China,Grilled Tenders,348,57.23,19916.04
user_3234,2026-05-01,USA,Hardcore Spicy Tenders,970,190.45,184736.5
user_900,2025-05-15,Germany,Chicken Nuggets,276,108.31,29893.56
user_255,2026-11-07,China,Too Much Grilled Tenders,372,62.84,23376.48
user_1131,2025-04-24,Brazil,Spicy Strips,823,103.03,84793.69
user_3184,2026-01-31,USA,Chicken Nuggets,363,178.1,64650.3
user_3917,2026-10-28,USA,Grilled Tenders,214,133.79,28631.06
user_2715,2025-06-14,USA,Fried Wings,446,186.81,83317.26
user_2112,2025-09-01,Brazil,Too Much Grilled Tenders,434,76.29,33109.86
user_2297,2026-11-04,UK,Hardcore Spicy Tenders,448,51.47,23058.56
user_3467,2026-02-19,Japan,Too Much Grilled Tenders,243,185.12,44984.16
user_1505,2026-05-01,Germany,Chicken Nuggets,515,21.16,10897.4
user_4532,2024-09-21,Germany,Too Much Grilled Tenders,105,42.0,4410.0
user_2304,2024-06-29,USA,Hardcore Spicy Tenders,15,106.89,1603.35
user_4509,2024-07-17,UK,Too Much Grilled Tenders,661,73.28,48438.08
user_4896,2025-12-30,UK,Spicy Strips,645,112.42,72510.9
user_1155,2026-10-21,USA,Hardcore Spicy Tenders,51,122.6,6252.6
user_2334,2024-08-20,Brazil,Spicy Strips,306,84.37,25817.22
user_3679,2026-05-29,France,Soft Chicken Nuggets,428,105.75,45261.0
user_1081,2025-07-11,China,Fried Wings,530,4.76,2522.8
user_4797,2024-10-22,Canada,Soft Chicken Nuggets,556,167.14,92929.84
user_2240,2024-05-15,Brazil,Too Much Grilled Tenders,993,165.19,164033.67
user_2771,2024-01-14,Brazil,Spicy Strips,228,105.04,23949.12
user_2744,2024-07-24,Brazil,Chicken Nuggets,615,22.48,13825.2
user_99,2024-07-09,USA,Chicken Nuggets,775,122.78,95154.5
user_3589,2024-09-13,France,Too Much Grilled Tenders,653,44.78,29241.34
user_363,2025-05-13,China,Soft Chicken Nuggets,978,195.64,191335.92
user_1522,2024-04-11,India,Too Much Grilled Tenders,366,144.84,53011.44
user_3580,2026-01-24,France,Hardcore Spicy Tenders,528,67.34,35555.52
user_3002,2024-03-25,USA,Chicken Nuggets,761,167.2,127239.2
user_1021,2024-06-09,China,Spicy Strips,540,151.74,81939.6
user_1261,2025-06-15,China,Hardcore Spicy Tenders,99,17.41,1723.59
user_3084,2026-05-26,Japan,Chicken Nuggets,570,150.88,86001.6
user_3495,2024-03-02,Japan,Spicy Strips,63,61.82,3894.66
user_1225,2026-04-17,China,Chicken Nuggets,29,113.73,3298.17
user_2072,2025-02-24,USA,Soft Chicken Nuggets,88,158.3,13930.4
user_3392,2025-08-09,France,Fried Wings,881,128.86,113525.66
user_1146,2025-01-20,China,Hardcore Spicy Tenders,366,55.99,20492.34
user_4450,2026-09-12,China,Fried Wings,347,178.05,61783.35
user_1128,2026-04-12,France,Hardcore Spicy Tenders,632,132.74,83891.68
user_49,2026-06-02,Brazil,Too Much Grilled Tenders,713,119.34,85089.42
user_1309,2024-03-31,India,Spicy Strips,832,114.34,95130.88
user_912,2025-07-06,Germany,Too Much Grilled Tenders,859,93.78,80557.02
user_3095,2024-02-22,France,Too Much Grilled Tenders,559,85.04,47537.36
user_4181,2026-06-08,Brazil,Fried Wings,326,62.6,20407.6
user_4972,2026-10-15,Germany,Grilled Tenders,935,48.04,44917.4
user_4540,2026-01-23,Brazil,Grilled Tenders,957,6.08,5818.56
user_695,2026-08-23,China,Grilled Tenders,832,54.35,45219.2
user_4175,2026-12-05,Brazil,Spicy Strips,98,30.83,3021.34
user_2602,2025-11-07,Japan,Grilled Tenders,523,172.3,90112.9
user_5,2024-10-09,USA,Grilled Tenders,196,143.73,28171.08
user_3133,2024-12-13,UK,Grilled Tenders,459,32.05,14710.95
user_1034,2025-10-21,Germany,Fried Wings,572,95.42,54580.24
user_2523,2026-09-27,USA,Hardcore Spicy Tenders,891,95.66,85233.06
user_3577,2025-02-09,Germany,Soft Chicken Nuggets,851,55.1,46890.1
user_585,2025-07-14,France,Fried Wings,278,105.96,29456.88
user_4345,2024-03-26,Germany,Spicy Strips,430,56.73,24393.9
user_1546,2026-01-30,France,Grilled Tenders,612,19.35,11842.2
user_1979,2024-08-03,Japan,Grilled Tenders,55,6.28,345.4
user_2608,2024-04-03,Canada,Soft Chicken Nuggets,522,21.38,11160.36
user_4582,2026-07-20,China,Chicken Nuggets,106,23.7,2512.2
user_2125,2025-04-30,UK,Too Much Grilled Tenders,60,50.24,3014.4
user_2680,2024-10-08,Canada,Chicken Nuggets,182,78.85,14350.7
user_3725,2024-11-02,Germany,Hardcore Spicy Tenders,78,100.26,7820.28
user_2337,2025-11-12,Canada,Soft Chicken Nuggets,621,29.63,18400.23
user_509,2026-08-17,USA,Soft Chicken Nuggets,484,80.49,38957.16
user_1493,2024-07-06,India,Grilled Tenders,969,34.44,33372.36
user_1339,2025-06-14,Canada,Chicken Nuggets,167,87.56,14622.52
user_1615,2025-02-09,UK,Chicken Nuggets,429,15.71,6739.59
user_3616,2025-11-29,China,Hardcore Spicy Tenders,36,36.16,1301.76
user_2433,2024-03-23,USA,Soft Chicken Nuggets,13,129.74,1686.62
user_1124,2025-06-06,Brazil,Spicy Strips,701,18.54,12996.54
user_4527,2024-05-24,France,Grilled Tenders,84,171.95,14443.8
user_3346,2025-08-12,China,Chicken Nuggets,130,180.31,23440.3
user_4122,2025-07-22,Canada,Hardcore Spicy Tenders,481,160.31,77109.11
user_302,2024-03-24,Canada,Fried Wings,788,77.04,60707.52
user_4303,2024-06-17,China,Too Much Grilled Tenders,590,168.65,99503.5
user_3146,2024-01-12,India,Spicy Strips,806,168.59,135883.54
user_4426,2025-01-18,India,Chicken Nuggets,179,134.75,24120.25
user_4424,2026-07-23,USA,Too Much Grilled Tenders,995,133.26,132593.7
user_2416,2025-05-05,China,Soft Chicken Nuggets,602,10.36,6236.72
user_2085,2025-10-23,France,Fried Wings,591,187.97,111090.27
user_3823,2026-07-09,Japan,Spicy Strips,649,183.01,118773.49
user_22,2025-06-20,Japan,Hardcore Spicy Tenders,548,128.55,70445.4
user_2368,2024-10-10,Germany,Soft Chicken Nuggets,644,118.04,76017.76
user_3868,2024-09-14,UK,Grilled Tenders,542,108.25,58671.5
user_4223,2024-10-28,Canada,Spicy Strips,552,135.38,74729.76
user_3639,2025-11-29,India,Too Much Grilled Tenders,755,158.86,119939.3
user_4634,2025-03-05,China,Hardcore Spicy Tenders,392,149.47,58592.24
user_4974,2026-01-17,Japan,Fried Wings,3,135.97,407.91
user_4743,2024-12-04,Canada,Grilled Tenders,460,15.97,7346.2
user_1068,2025-09-22,Germany,Chicken Nuggets,283,10.9,3084.7
user_3520,2026-11-17,India,Fried Wings,219,121.87,26689.53
user_1295,2026-01-25,India,Spicy Strips,605,163.17,98717.85
user_4063,2026-09-12,France,Soft Chicken Nuggets,76,56.72,4310.72
user_2710,2024-07-11,China,Soft Chicken Nuggets,584,45.64,26653.76
user_1040,2026-03-25,UK,Fried Wings,223,100.38,22384.74
user_4551,2025-01-12,Canada,Soft Chicken Nuggets,152,118.46,18005.92
user_3650,2025-09-08,Brazil,Chicken Nuggets,636,44.18,28098.48
user_3626,2025-03-21,Japan,Hardcore Spicy Tenders,583,24.42,14236.86
user_1426,2025-07-26,India,Fried Wings,720,43.98,31665.6
user_1439,2024-12-12,France,Too Much Grilled Tenders,832,127.62,106179.84
user_1219,2026-11-27,France,Soft Chicken Nuggets,897,179.43,160948.71
user_1151,2025-04-14,Germany,Spicy Strips,392,21.73,8518.16
user_1451,2026-07-07,France,Chicken Nuggets,133,137.45,18280.85
user_3592,2024-02-22,UK,Chicken Nuggets,480,45.75,21960.0
user_4028,2026-07-08,Brazil,Soft Chicken Nuggets,282,113.95,32133.9
user_2320,2024-05-10,Canada,Too Much Grilled Tenders,334,67.99,22708.66
user_4893,2024-04-06,USA,Spicy Strips,499,6.94,3463.06
user_4829,2025-12-17,Brazil,Too Much Grilled Tenders,157,150.73,23664.61
user_2844,2024-11-14,Canada,Grilled Tenders,792,63.83,50553.36
user_2241,2025-04-29,Canada,Spicy Strips,153,142.98,21875.94
user_1885,2024-06-24,UK,Grilled Tenders,561,115.21,64632.81
user_2031,2025-12-04,India,Too Much Grilled Tenders,985,162.34,159904.9
user_213,2025-11-07,China,Spicy Strips,333,170.19,56673.27
user_1804,2026-08-23,UK,Chicken Nuggets,832,133.91,111413.12
user_3851,2025-09-03,USA,Hardcore Spicy Tenders,897,63.08,56582.76
